data_time,data_value
2021-08-01,94972.55209468723
2021-08-02,101123.23637197923
2021-08-03,101951.05365
2021-08-04,103882.23449074592
2021-08-05,102013.31722036522
2021-08-06,102040.33817222227
2021-08-07,97940.07179444442
2021-08-08,93105.57772158104
2021-08-09,91932.8967742685
2021-08-10,93820.75508360704
2021-08-11,97645.05511411691
2021-08-12,106311.04362309317
2021-08-13,87216.00728062898
2021-08-14,88938.29222222845
2021-08-15,83302.83521609547
2021-08-16,84588.36260757426
2021-08-17,87606.30450033999
2021-08-18,89525.94587868857
2021-08-19,94033.5739833332
2021-08-20,103434.6490666666
2021-08-21,104803.33642459309
2021-08-22,83553.32709358179
2021-08-23,82095.01044964907
2021-08-24,71314.49906319061
2021-08-25,73350.01516878125
2021-08-26,58938.59755652501
2021-08-27,63162.926887297304
2021-08-28,62103.545221056374
2021-08-29,59458.532670948174
2021-08-30,70438.75960358314
2021-08-31,72859.08298857215
2021-09-01,80746.58171888332
2021-09-02,85659.4928817598
2021-09-03,86421.35815491238
2021-09-04,86341.09744097182
2021-09-05,78837.20377444115
2021-09-06,65492.943806809155
2021-09-07,69682.79029755175
2021-09-08,68459.99459887022
2021-09-09,62005.16197210549
2021-09-10,67185.84707591709
2021-09-11,75034.59240037276
2021-09-12,71587.83955329038
2021-09-13,73332.07011300337
2021-09-14,75646.56056807045
2021-09-15,78341.08786526322
2021-09-16,87016.41138461519
2021-09-17,68519.73205982911
2021-09-18,70360.29346763862
2021-09-19,66171.92531013917
2021-09-20,69641.60932520006
2021-09-21,69483.3691192445
2021-09-22,74739.49809999976
2021-09-23,78286.40692481905
2021-09-24,84076.29529184767
2021-09-25,93249.52112777802
2021-09-26,85485.77004121504
2021-09-27,76109.15840322929
2021-09-28,65216.3757608404
2021-09-29,73242.06246138166
2021-09-30,78181.81156273489
2021-10-01,82637.90471817617
2021-10-02,89697.14173524195
2021-10-03,81445.47831621704
2021-10-04,78862.37175651913
2021-10-05,78061.15868888868
2021-10-06,62064.19237059976
2021-10-07,58194.347023677765
2021-10-08,58891.89412794454
2021-10-09,63982.65658888918
2021-10-10,54897.37142740136
2021-10-11,46535.82190593191
2021-10-12,45846.57527014227
2021-10-13,48879.7648664589
2021-10-14,60829.61832743132
2021-10-15,48896.260064468246
2021-10-16,46650.60014012284
2021-10-17,44522.13745012887
2021-10-18,40295.94535711076
2021-10-19,36416.44494266955
2021-10-20,36425.67782687913
2021-10-21,42164.00844409813
2021-10-22,47589.1095958137
2021-10-23,46144.226054615356
2021-10-24,47269.64243707726
2021-10-25,56073.71401331922
2021-10-26,48190.13392338345
2021-10-27,47542.376784067026
2021-10-28,35991.660973041624
2021-10-29,36048.54532074282
2021-10-30,40052.198251935224
2021-10-31,36008.97563442865
2021-11-01,37747.13879363652
2021-11-02,36682.853428590344
2021-11-03,36808.850112119595
2021-11-04,36656.026189463046
2021-11-05,36266.274772821664
2021-11-06,35708.07544146388
