data_time,metro
2022/4/11,309.6
2022/4/12,296.5
2022/4/13,313.2
2022/4/14,299.0
2022/4/15,331.3
2022/4/16,247.6
2022/4/17,224.1
2022/4/18,318.0
2022/4/19,319.4
2022/4/20,319.6
2022/4/21,316.4
2022/4/22,340.9
2022/4/23,254.8
2022/4/24,295.9
2022/4/25,318.3
2022/4/26,316.8
2022/4/27,312.9
2022/4/28,317.8
2022/4/29,371.2
2022/4/30,260.4
