data_time,data_value
2021-08-01,62565.05910834586
2021-08-02,59951.52255832082
2021-08-03,59881.643999999986
2021-08-04,60204.06672985791
2021-08-05,58505.80221458643
2021-08-06,56943.75615555558
2021-08-07,58219.8903444445
2021-08-08,59018.07601772962
2021-08-09,56738.26106486672
2021-08-10,57231.760718280115
2021-08-11,58241.53500008629
2021-08-12,58677.938421259576
2021-08-13,58942.16734974508
2021-08-14,63443.350423504904
2021-08-15,62414.05597219323
2021-08-16,57856.37246661363
2021-08-17,58132.14958029293
2021-08-18,58966.70754098359
2021-08-19,59477.491892857244
2021-08-20,63257.452440476154
2021-08-21,66818.28138150803
2021-08-22,63087.1163537234
2021-08-23,58673.192189648085
2021-08-24,57937.96788052145
2021-08-25,56648.79245232619
2021-08-26,55476.98520057367
2021-08-27,56810.00020836583
2021-08-28,61560.4735646632
2021-08-29,60932.9460051141
2021-08-30,57263.59543022254
2021-08-31,57738.544144444684
2021-09-01,56470.10179187359
2021-09-02,57396.00970935489
2021-09-03,60279.251465437905
2021-09-04,63886.82967787888
2021-09-05,62870.332527331535
2021-09-06,54516.98457256763
2021-09-07,54704.94536911455
2021-09-08,55101.67199435049
2021-09-09,54434.447895667916
2021-09-10,57184.80235197808
2021-09-11,62911.89136375245
2021-09-12,60524.8302548214
2021-09-13,54830.12954809247
2021-09-14,55026.863957983405
2021-09-15,56749.211375350045
2021-09-16,56192.73809999983
2021-09-17,56120.73741111154
2021-09-18,57492.183627167266
2021-09-19,62866.41663949932
2021-09-20,62470.43903884862
2021-09-21,64462.01230004034
2021-09-22,55515.32821666652
2021-09-23,56541.07671359743
2021-09-24,60421.72939751379
2021-09-25,68538.40378888909
2021-09-26,59742.18737670545
2021-09-27,56422.023167738866
2021-09-28,56829.591243233284
2021-09-29,57818.490978988775
2021-09-30,60335.53830743452
2021-10-01,63692.67162073724
2021-10-02,68928.06505710284
2021-10-03,68796.07272507655
2021-10-04,62458.89895631567
2021-10-05,63726.46899999964
2021-10-06,61884.22539851387
2021-10-07,57956.920889586756
2021-10-08,53609.501600788426
2021-10-09,54479.528777777836
2021-10-10,57791.93363917118
2021-10-11,51212.1806941622
2021-10-12,51340.899066666556
2021-10-13,52074.097092620585
2021-10-14,52347.72046256448
2021-10-15,55581.417191508524
2021-10-16,59242.23534053782
2021-10-17,59561.70762498157
2021-10-18,51535.05565535796
2021-10-19,56228.04101315014
2021-10-20,51226.73528313065
2021-10-21,50297.774461219975
2021-10-22,53329.0551488301
2021-10-23,58592.27173744099
2021-10-24,58595.99517119565
2021-10-25,52848.22119220545
2021-10-26,60618.09966433521
2021-10-27,51632.41352289728
2021-10-28,52162.96068865735
2021-10-29,54408.295135159846
2021-10-30,61240.090395909254
2021-10-31,60080.78058893935
2021-11-01,52865.02405988718
2021-11-02,50291.66075757288
2021-11-03,46090.40432851969
2021-11-04,44097.7524778298
2021-11-05,44237.67150141208
2021-11-06,46117.13144620716
2021-11-07,46523.73052422306
2021-11-08,43885.638320511986
2021-11-09,44840.00540129626
2021-11-10,46996.08338410781
2021-11-11,46593.101215098555
2021-11-12,49026.404988095775
2021-11-13,53458.40580705219
2021-11-14,53835.662244094485
2021-11-15,47446.56774829845
2021-11-16,49366.987774962065
2021-11-17,52289.47107357588
2021-11-18,52404.971209159245
2021-11-19,53957.128000000266
2021-11-20,59362.93836494265
2021-11-21,58565.11605953631
2021-11-22,51808.89196513123
2021-11-23,52332.180229973055
2021-11-24,52536.49678264367
2021-11-25,52339.132769405136
2021-11-26,55641.51556794984
2021-11-27,60533.84595473525
2021-11-28,59828.37385845739
2021-11-29,52823.734531719536
2021-11-30,53147.06092344244
2021-12-01,53361.821970835204
2021-12-02,53763.4936617336
2021-12-03,56021.115385296864
2021-12-04,60789.63559324564
2021-12-05,59155.83702033157
2021-12-06,52919.888965173406
2021-12-07,53186.21303036777
2021-12-08,54419.14858819957
2021-12-09,53640.214533699625
2021-12-10,56927.18155121321
2021-12-11,62192.12081930839
2021-12-12,61671.32941743029
2021-12-13,53519.399105739525
2021-12-14,53391.373838641855
2021-12-15,53870.549808466014
2021-12-16,55025.709176047145
2021-12-17,59170.41254220694
2021-12-18,64095.919885141375
2021-12-19,62842.50021125939
2021-12-20,53962.521862261274
2021-12-21,54387.69771857386
2021-12-22,54882.10673277315
2021-12-23,55047.71386247517
2021-12-24,59483.98230693683
2021-12-25,63797.56822925872
2021-12-26,64971.993789614055
2021-12-27,57396.02343603005
2021-12-28,57078.46206618346
2021-12-29,58992.78091868698
2021-12-30,59542.25405644559
2021-12-31,65576.2233603972
2022-01-01,66332.05922693766
2022-01-02,64387.83466685558
2022-01-03,59944.365588636996
2022-01-04,55425.263454338135
2022-01-05,54754.287930806866
2022-01-06,56118.69634484577
2022-01-07,59519.65706597426
2022-01-08,63017.44717201972
2022-01-09,61131.206442932445
2022-01-10,55163.59947547686
2022-01-11,55398.688609248115
2022-01-12,55076.792117893194
2022-01-13,55648.73356584679
2022-01-14,59105.071541118574
2022-01-15,61509.50703952385
2022-01-16,59923.77732311992
2022-01-17,55141.384588281784
2022-01-18,56411.01105761631
2022-01-19,19131.90124074263
2022-01-20,89823.71900649485
2022-01-21,59043.01198562031
2022-01-22,61620.11306430965
2022-01-23,60562.184142881364
2022-01-24,56366.896082166095
2022-01-25,58562.88994062251
2022-01-26,59577.73329389473
2022-01-27,58125.63747262577
2022-01-28,61325.30291909655
2022-01-29,60832.29290595784
2022-01-30,58460.213935673986
2022-01-31,37139.84604792099
2022-02-01,49432.355769745816
2022-02-02,54903.75010927815
2022-02-03,57394.68169382523
2022-02-04,57982.259523525536
2022-02-05,59475.87535236208
2022-02-06,61947.78262985433
2022-02-07,57643.48233268313
2022-02-08,56962.178564230046
2022-02-09,58045.25352217902
2022-02-10,55716.56392712556
2022-02-11,57780.382813755896
2022-02-12,59684.62792383945
2022-02-13,59881.37603237304
2022-02-14,58589.748730304746
2022-02-15,56217.14811466748
2022-02-16,51693.85457396449
2022-02-17,51542.24948250738
2022-02-18,58412.05603591009
2022-02-19,60767.90854494527
2022-02-20,60413.87730864013
2022-02-21,53514.16739563639
2022-02-22,54338.52217851851
2022-02-23,54646.10304268026
2022-02-24,54021.50256656078
2022-02-25,55563.27445147352
2022-02-26,59831.880005092695
2022-02-27,57888.62173282186
2022-02-28,51421.89888360208
2022-03-01,50670.42791398947
2022-03-02,52064.047346694504
2022-03-03,51883.5046925458
2022-03-04,54394.34676965706
2022-03-05,57501.58570930443
2022-03-06,57729.966891141
2022-03-07,50862.521864018156
2022-03-08,54553.44929627909
2022-03-09,48784.89567919792
2022-03-10,55313.95990605242
2022-03-11,55421.93902785348
2022-03-12,59137.214577424435
2022-03-13,56617.8354019027
2022-03-14,51979.49677130245
2022-03-15,50579.055616773585
2022-03-16,51029.77715635455
2022-03-17,50961.31419584506
2022-03-18,53558.34898416972
2022-03-19,56706.7949541268
2022-03-20,54746.30884551135
2022-03-21,49296.08390879032
2022-03-22,49701.78888150666
2022-03-23,49976.509972405795
2022-03-24,48915.5814885167
2022-03-25,51432.814106612095
2022-03-26,55641.74394324256
2022-03-27,55517.246461869916
2022-03-28,48802.60248098853
2022-03-29,48523.60408143166
2022-03-30,49766.26953762747
2022-03-31,51126.86415026151
2022-04-01,52221.5679508822
2022-04-02,53566.9850800832
2022-04-03,56515.3996176957
2022-04-04,56945.30938449081
2022-04-05,54740.10198689399
2022-04-06,49292.76533890352
2022-04-07,49780.875400335855
2022-04-08,53574.701714111405
2022-04-09,57413.46574415545
2022-04-10,57419.49893396322
2022-04-11,52491.77913975585
2022-04-12,49805.20414555771
2022-04-13,52229.22536440357
2022-04-14,50657.54138420023
2022-04-15,52854.7605801022
2022-04-16,58099.061830287195
2022-04-17,56818.10430351612
